,HBP,BRD_JSWCoke3Fresh,Coal Actual,BRD_PelletPP2Fresh,TAPNO,BRD_JSWCoke4Fresh,Permeabilty,Oxygen Flow,Heat_Load Q1,SLAG_RATE,Uptake3,HM_TI,Uptake2,HM_S,Uptake4,Raft,BRD_MIXEDMATERIAL,HM_MN,Coal Inj. SP,Heat_Load Q4,Uptake1,BRD_SmallSinter,Bottom DP,HM_SI,HM_TEMP,PROD_RATE
Uptake3,-0.23512830823587472,0.9396964758534282,-0.05297485370086596,-1.0,-0.07842294645062199,-0.13257217597092438,0.3316730438041719,-0.4729773821736708,0.08067868864918742,-0.04192019134335489,1.0,0.09790172757333368,0.9344856724630587,-0.022457188156820136,0.9454170788614805,-0.33558024584451407,-0.1597514783739268,0.05497286233558244,-0.3590039925364645,0.06430653010400195,0.9159372626001879,-0.04349823494233531,-0.3772342298216406,0.15185180717264954,0.09019336071113723,-0.5917694352130838
HM_TI,0.006044273543686949,0.9999998038183676,-0.003957886331094274,0.8063183327516148,-0.04179507825356013,-0.04735635067590149,0.11085278333980418,-0.09235707411865067,-0.05124615768879804,-0.054686558197371976,0.09790172757333368,1.0,0.1022553224461193,-0.30262024248055047,0.09434409989461975,-0.0340810986466841,0.1581388351848387,0.29601211482834955,-0.06726284868769532,-0.0385787903594364,0.108205371737926,0.04914476949392653,-0.026917893319145937,0.591628586617744,0.23015145212517055,-0.11547431434319949
Uptake2,-0.2598462562832434,0.6643803186087497,0.024044859976221186,-1.0,-0.1672324176752988,-0.21579748358837159,0.3341513808320896,-0.5099532839542673,0.012430250090443509,-0.11557495412805083,0.9344856724630587,0.1022553224461193,1.0,0.011719771529930794,0.8824445823837782,-0.3784357592208276,-0.07451373612614949,0.058524967463419314,-0.30069494733491253,-0.010586423474326409,0.9249526688085666,0.01140354713989387,-0.40142376858313444,0.13811838919285502,0.11757755444552347,-0.5967000954625032
HM_S,-0.209786733272364,0.40205661127757664,0.13989791634242696,0.8320502943378444,-0.3843708416117913,-0.2887527711768721,-0.13312293955767365,-0.15683025353949612,-0.20090324783588362,-0.2797982162243177,-0.022457188156820136,-0.30262024248055047,0.011719771529930794,1.0,-0.014828799824948074,-0.20140984833488298,0.331526728495022,-0.40854203380536536,0.11049212292130374,-0.15549950048691494,-0.04082125982474913,0.19825510746682387,-0.1365788256289789,-0.42642723725999837,-0.09719126167357729,-0.04478654843684555
Uptake4,-0.24886719638677507,0.972403915365353,-0.04600313440026872,-1.0000000000000002,-0.10595933934794187,-0.16481966159630485,0.3386183275008964,-0.4879650076850315,0.07881206635484651,-0.04269605666668482,0.9454170788614805,0.09434409989461975,0.8824445823837782,-0.014828799824948074,1.0,-0.35346373020324234,-0.08631180986948675,0.055897573986641164,-0.35395369358768786,0.08147006687611942,0.9438965019694099,-0.0004178957904374141,-0.4045741112877654,0.15257028367526743,0.09888802552472349,-0.595381776132049
Raft,0.45173650534692356,0.8421229842401221,-0.2543586293006273,-1.0000000000000029,0.49255632426061907,0.5881406595004893,-0.13290377628573533,0.7274759263427684,0.331761691029297,0.20317658057262714,-0.33558024584451407,-0.0340810986466841,-0.3784357592208276,-0.20140984833488298,-0.35346373020324234,1.0,-0.3046620304743992,-0.04480966371897764,0.028136000712123112,0.18311028040577032,-0.31985062525657637,-0.21460817806396632,0.4141151250825405,0.049225533269942175,-0.024112859044241354,0.5331245077083872
BRD_MIXEDMATERIAL,-0.3917281810323781,,-0.21439453937326405,,-0.7806001370826321,-0.5540555295747593,-0.20715211064653585,-0.346997044348101,-0.4252340932785585,-0.607704379498294,-0.1597514783739268,0.1581388351848387,-0.07451373612614949,0.331526728495022,-0.08631180986948675,-0.3046620304743992,1.0,-0.11345941797980706,-0.2892342745599369,-0.18232683126685298,-0.12306802613108664,0.8498076398998097,-0.4702404576530076,0.18869087133388301,0.3376264917352834,-0.29445106726025333
HM_MN,0.09478739294385627,-0.23073000910586336,-0.05738036083263587,0.805613740871387,0.00010467778221384674,-0.12652961511724356,0.29532083526306074,-0.1200948170287565,-0.062456896382709425,0.1634573225194036,0.05497286233558244,0.29601211482834955,0.058524967463419314,-0.40854203380536536,0.055897573986641164,-0.04480966371897764,-0.11345941797980706,1.0,-0.12416230260318298,-0.014059745517388903,0.04201313119249821,-0.04091736914951963,-0.021761642862289397,0.3677083260368544,0.1625052891178923,-0.14059572737543602
Coal Inj. SP,0.3696051183275847,-0.6418031034565752,0.829362470808495,-1.0000000000000004,0.034007838200262465,-0.08187477301376417,-0.2554762982654324,0.45819217618850533,-0.22126645205977905,-0.12013908008634584,-0.3590039925364645,-0.06726284868769532,-0.30069494733491253,0.11049212292130374,-0.35395369358768786,0.028136000712123112,-0.2892342745599369,-0.12416230260318298,1.0,-0.16332141317912802,-0.33687429543656494,-0.10959666777739561,0.3542513599343022,-0.22709331675442665,-0.0981923556558554,0.6761418256939988
Heat_Load Q4,0.2748403057217843,0.3336716239166589,-0.22122349035471833,-1.0000000000000038,0.3851183582175351,0.33103173632138166,0.1576748868041548,0.2011804164270167,0.5848769370382209,0.3161246227285058,0.06430653010400195,-0.0385787903594364,-0.010586423474326409,-0.15549950048691494,0.08147006687611942,0.18311028040577032,-0.18232683126685298,-0.014059745517388903,-0.16332141317912802,1.0,0.043834415685569734,-0.2627846186529651,-0.11576502480967582,0.08694136935631515,-0.1928433594990172,0.0644450265441235
Uptake1,-0.23723411716813733,0.600238217121272,-0.03863716377986917,-1.0,-0.06282808546711106,-0.11093574590946391,0.29575558107936817,-0.4412917351323932,0.09334473985231112,-0.06959063169823325,0.9159372626001879,0.108205371737926,0.9249526688085666,-0.04082125982474913,0.9438965019694099,-0.31985062525657637,-0.12306802613108664,0.04201313119249821,-0.33687429543656494,0.043834415685569734,1.0,-0.011551991779076466,-0.367974595004261,0.1613527548841739,0.10131620322339649,-0.56212500503503
BRD_SmallSinter,-0.31045417254406504,,-0.02900950874076442,,-0.6312852589260576,-0.36938772113510765,-0.14947488220267788,-0.2231615382796455,-0.3931770733954755,-0.37015536112016817,-0.04349823494233531,0.04914476949392653,0.01140354713989387,0.19825510746682387,-0.0004178957904374141,-0.21460817806396632,0.8498076398998097,-0.04091736914951963,-0.10959666777739561,-0.2627846186529651,-0.011551991779076466,1.0,-0.26872249552269095,0.04794016256245826,0.21892725834189264,-0.16012691597481643
Bottom DP,0.5145803202063322,0.17625133961654843,0.14416692915532997,-1.0,0.3733898450775301,0.3421820416020647,-0.12935283929085525,0.5433571066720632,-0.022291791713232107,0.08702363275642712,-0.3772342298216406,-0.026917893319145937,-0.40142376858313444,-0.1365788256289789,-0.4045741112877654,0.4141151250825405,-0.4702404576530076,-0.021761642862289397,0.3542513599343022,-0.11576502480967582,-0.367974595004261,-0.26872249552269095,1.0,-0.05133359842113609,-0.02754605564836718,0.5205117183711301
HM_SI,0.05972984331055124,0.8191765818928356,-0.16980338460293945,0.791633273749738,0.02085744904606196,0.03460031613486281,0.1837302703853422,-0.06594833869144522,0.06460797934196649,0.022091859508368276,0.15185180717264954,0.591628586617744,0.13811838919285502,-0.42642723725999837,0.15257028367526743,0.049225533269942175,0.18869087133388301,0.3677083260368544,-0.22709331675442665,0.08694136935631515,0.1613527548841739,0.04794016256245826,-0.05133359842113609,1.0,0.3212011953652031,-0.16641303089882378
HM_TEMP,-0.012143373745051306,-0.1826983512368724,-0.050590810205018634,0.33986816115402213,-0.3179298749266184,-0.20568233369894118,0.06033587110970872,-0.10820416319976262,-0.2250284026186288,-0.26547195090359416,0.09019336071113723,0.23015145212517055,0.11757755444552347,-0.09719126167357729,0.09888802552472349,-0.024112859044241354,0.3376264917352834,0.1625052891178923,-0.0981923556558554,-0.1928433594990172,0.10131620322339649,0.21892725834189264,-0.02754605564836718,0.3212011953652031,1.0,-0.12039084148140822
PROD_RATE,0.6127923500102197,-0.4405206689915397,0.22299971894010104,-0.9999999999999997,0.35473415961463206,0.38676304265481815,-0.39810930846200926,0.8823525968587702,0.13131813072646198,0.08691208055358095,-0.5917694352130838,-0.11547431434319949,-0.5967000954625032,-0.04478654843684555,-0.595381776132049,0.5331245077083872,-0.29445106726025333,-0.14059572737543602,0.6761418256939988,0.0644450265441235,-0.56212500503503,-0.16012691597481643,0.5205117183711301,-0.16641303089882378,-0.12039084148140822,1.0
